document_name,query,codes
CT_H_21_6521,"(3) Notwithstanding any provision Homeownersof the general statutes or special act, municipal charter or ordinance, land, including, but not limited to, individual parcels of land, lots in an approved subdivision or land that is the subject of an approved site plan, on which a one, two, three or four family residential dwelling is planned for construction, is under construction or has been constructed, shall be assessed exclusive of the value of such dwelling prior to the date (A) a certificate of occupancy is issued for such dwelling, (B) on which such dwelling is first used for the purpose for which it was constructed, or (C) on which title to such dwelling is conveyed to a buyer who intends to use such dwelling for the purpose for which it was constructed, whichever is earlier.","['Reducing Taxes/Fees', 'Developers']"
CO_S_23_213,"Housing needs planning. The executive director of the department of local affairs (director) shall, no later than December 31, 2024, and every 5 years thereafter, issue methodology for developing statewide, regional, and local housing needs assessments. The statewide housing needs assessment must determine existing statewide housing stock and current and future housing needs. The regional housing needs assessments must allocate the addressing of housing needs identified in the statewide housing needs assessment to regions of the state. Similarly, the local housing needs assessments must allocate the addressing of the housing needs allocated in the regional housing needs assessment to localities in the relevant region. 

The director shall, no later than December 31, 2024, issue guidance on creating a housing needs plan for both a rural resort job center municipality and an urban municipality. Following this guidance, no later than December 31, 2026, and every 5 years thereafter, a rural resort job center municipality and an urban municipality shall develop a housing needs plan and submit that plan to the department of local affairs (department). A housing needs plan must include, among other things, descriptions of how the plan was created, how the municipality will address the housing needs it was assigned in the local housing needs assessment, affordability strategies the municipality has selected to address its local housing needs assessment, an assessment of displacement risk and any strategies selected to address identified risks, and how the locality will comply with other housing requirements in this bill","['Local Gov', 'Housing Needs Assessments', 'Specific Location']"
CO_S_23_213,"The director shall, no later than December 31, 2024, develop and publish a menu of affordability strategies to address housing production, preservation, and affordability. Rural resort job center municipalities and urban municipalities shall identify at least 2 of these strategies that they intend to implement in their housing plan, and urban municipalities with a transit-oriented area must identify at least 3. 

The director shall, no later than December 31, 2024, develop and publish a menu of displacement mitigation measures. This menu must, among other things, provide guidance for how to identify areas at the highest risk for displacement and identify displacement mitigation measures that a locality may adopt. An urban municipality must identify which of these measures it intends to implement in its housing plan to address any areas it identifies as at an elevated risk for displacement. 

The director shall, no later than March 31, 2024, publish a report that identifies strategic growth objectives that will incentivize growth in transit-oriented areas and infill areas and guide growth at the edges of urban areas. The multi-agency advisory committee shall, no later than March 31, 2024, submit a report to the general assembly concerning the strategic growth objectives.","['Local Gov', 'Planning', 'Affordable']"
CO_S_23_213,"Accessory dwelling units. The director shall promulgate an accessory dwelling unit model code that, among other things, requires accessory dwelling units to be allowed as a use by right in any part of a municipality where the municipality allows single-unit detached dwellings as a use by right. The committee shall provide recommendations to the director for promulgating this model

code. In developing these recommendations, the committee shall conduct a public comment and hearing process. 

Even if a municipality does not adopt the accessory dwelling unit model code, the municipality shall adhere to accessory dwelling unit minimum standards established in the bill and by the department. These minimum standards, among other things, must require a municipality to: 

! Allow accessory dwelling units as a use by right in any part of the municipality where the municipality allows single-unit detached dwellings as a use by right; 

! Only adopt or enforce local laws concerning accessory dwelling units that use objective standards and procedures; 

! Not adopt, enact, or enforce local laws concerning accessory dwelling units that are more restrictive than local laws concerning single-unit detached dwellings; and 

! Not apply standards that make the permitting, siting, or construction of accessory dwelling units infeasible","['ADU', 'Zoning', 'Local Gov']"
CO_S_23_213,"(1) For the 2023-24 state fiscal year, $15,000,000 is appropriated to the housing plans assistance fund created in section 29-33-112 (3)(a), C.R.S. This appropriation is from the general fund. The department of local affairs is responsible for the accounting related to this appropriation.",['Budget Amount Allocated']
CO_S_23_213,"(4) For the 2023-24 state fiscal year, $625,109 is appropriated to the department of natural resources. This appropriation consists of $84,939 from the general fund and $540,170 cash funds from the Colorado water conservation board construction fund created in section 37-60-121 (1)(a), 

C.R.S. To implement this act, the department may use this appropriation as follows:",['Budget Amount Allocated']
CO_S_23_213,"Middle housing. The director shall promulgate a middle housing model code that, among other things, requires middle housing to be allowed as a use by right in any part of a rural resort job center municipality or a tier one urban municipality where the municipality allows single-unit detached dwellings as a use by right. The committee shall provide recommendations to the director for promulgating this model code. In developing these recommendations, the committee shall conduct a public comment and hearing process. 

Even if a rural resort job center municipality or a tier one urban municipality does not adopt the middle housing model code, the municipality shall adhere to middle housing minimum standards established in the bill and by the department. These minimum standards, among other things, must require a municipality to: 

! Allow middle housing as a use by right in certain areas; 

! Only adopt or enforce local laws concerning middle housing that use objective standards and procedures; 

! Allow properties on which middle housing is allowed to be split by right using objective standards and procedures; 

! Not adopt, enact, or enforce local laws concerning middle housing that are more restrictive than local laws concerning single-unit detached dwellings; and 

! Not apply standards that make the permitting, siting, or construction of middle housing infeasible.","['Specific Location', 'Plex', 'Zoning', 'Local Gov']"
CO_S_23_213,"ransit-oriented areas. The director shall promulgate a transit-oriented area model code that, among other things, imposes minimum residential density limits for multifamily residential housing and mixed-income multifamily residential housing and allows these developments as a use by right in the transit-oriented areas of tier one urban municipalities. The committee shall provide recommendations to the director for promulgating this model code. In developing these recommendations, the committee shall conduct a public comment and hearing process.

Even if a tier one urban municipality does not adopt the transit-oriented model code, the municipality shall adhere to middle housing minimum standards established in the bill and by the department. These minimum standards, among other things, must require a municipality to: 

! Create a zoning district within a transit-oriented area in which multifamily housing meets a minimum residential density limit and is allowed as a use by right; and 

! Not apply standards that make the permitting, siting, or construction of multifamily housing in transit-oriented areas infeasible.","['Local Gov', 'Transit Zones', 'Specific Location', 'Zoning', 'Plex', 'Mixed Income']"
CO_S_23_213,"Key corridors. The director shall promulgate a key corridor model code that applies to key corridors in rural resort job center municipalities and tier one urban municipalities. The model code must, among other things, include requirements for: 

! The percentage of units in mixed-income multifamily residential housing that must be reserved for low- and moderate-income households; 

! Minimum residential density limits for multifamily residential housing; and 

! Mixed-income multifamily residential housing that must be allowed as a use by right in key corridors. 

The committee shall provide recommendations to the director for promulgating this model code. In developing these recommendations, the committee shall conduct a public comment and hearing process. 

Even if a rural resort job center municipality or a tier one urban municipality does not adopt the key corridor model code, the municipality shall adhere to key corridor minimum standards promulgated by the director and developed by the department. These minimum standards, among other things, must identify a net residential zoning capacity for a municipality and must require a municipality to: 

! Allow multifamily residential housing within key corridors that meets the net residential zoning capacity as a use by right; 

! Not apply standards that make the permitting, siting, or construction of multifamily housing in certain areas infeasible; and 

! Not adopt, enact, or enforce local laws that make satisfying the required minimum residential density limits infeasible. 

The committee shall provide recommendations to the director on promulgating these minimum standards. In developing these recommendations, the committee shall conduct a public comment and hearing process.","['Key Corridor', 'Specific Location', 'Local Gov', 'Zoning', 'Plex', 'Mixed Income']"
CO_S_23_213,"! Requires the advisory committee on factory-built structures and tiny homes to produce a report on the opportunities and barriers in state law concerning the building of manufactured homes, mobile homes, and tiny homes;","['Reporting', 'Manufactured', 'Mobile Homes', 'Tiny Homes']"
CO_S_23_213,"! Removes the requirements that manufacturers of factory-built structures comply with escrow requirements of down payments and provide a letter of credit, certificate of deposit issued by a licensed financial institution, or surety bond issued by an authorized insurer;","['Manufactured', 'Reducing Taxes/Fees', 'Developers']"
CO_S_23_213,! Prohibits a local government from enacting or enforcing residential occupancy limits that differ based on the relationships of the occupants of a dwelling;,"['Occupancy Limits', 'Local Gov']"
CO_S_23_213,"! Modifies the content requirements for a county and municipal master plan, requires counties and municipalities to adopt or amend master plans as part of an inclusive process, and requires counties and municipalities to submit master plans to the department;","['Local Gov', 'Planning']"
CO_S_23_213,"! Allows a municipality to sell and dispose of real property and public buildings for the purpose of providing property to be used as affordable housing, without requiring the sale to be submitted to the voters of the municipality;","['Land Acquisition', 'Local Gov', 'Affordable']"
CO_S_23_213,! Requires the approval process for manufactured and modular homes to be based on objective standards and administrative review equivalent to the approval process for site-built homes;,"['Permitting/Approval', 'Modular', 'Manufactured', 'Local Gov']"
CO_S_23_213,! Prohibits a municipality from imposing more restrictive standards on manufactured and modular homes than the municipality imposes on site-built homes;,"['Building & Design Standards', 'Local Gov', 'Modular', 'Manufactured']"
CO_S_23_213,! Prohibits certain municipalities from imposing minimum square footage requirements for residential units in the approval of residential dwelling unit construction permits;,"['Floor Area Ratio', 'Local Gov', 'Specific Location']"
CO_S_23_213,"! Prohibits a unit owners' association from restricting accessory dwelling units, middle housing, housing in transit-oriented areas, or housing in key corridors;","['Zoning', 'HOAs', 'ADU', 'Plex', 'Transit Zones', 'Key Corridor']"
CO_S_23_213,"! Requires the department of transportation to ensure that the prioritization criteria for any grant program administered by the department are consistent with state strategic growth objectives, so long as doing so does not violate federal law; 

! Requires any regional transportation plan that is created or updated to address and ensure consistency with state strategic growth objectives; 

! Requires that expenditures for local and state multimodal projects from the multimodal transportation options fund are only to be made for multimodal projects that the department determines are consistent with state strategic growth objectives; and","['Planning', 'Local Gov']"
CO_S_23_213,"! For state fiscal year 2023-24, appropriates $15,000,000 from the general fund to the housing plans assistance fund and makes the department responsible for the accounting related to the appropriation",['Budget Amount Allocated']
MA_HB_22_4300,"SECTION 1. Notwithstanding any general or special law to the contrary, upon the approval by the Salem city council of Salem's affordable accessory dwelling unit ordinance, an affordable accessory dwelling unit in the city of Salem, shall be exempt from taxation under chapter 59 of the General Laws.","['Reducing Taxes/Fees', 'Specific Location', 'ADU', 'Local Gov', 'Affordable', 'Requirement', 'Blanket Incentives']"
MA_HB_22_4300,"SECTION 2. An exemption under this act shall be based on the value of 1 or more additional bedrooms, not the value of the affordable accessory dwelling unit with a kitchen and bath.",['ADU']
MA_HB_22_4300,"SECTION 3. The property owner leasing the affordable accessory dwelling unit shall upon initial application and annually thereafter, on September 1, submit to the city of Salem or its agent, documentation necessary to confirm their eligibility for the tax exemption for the affordable accessory dwelling unit.","['Property Owners/Landlords', 'Local Gov', 'Specific Location', 'Reporting', 'Requirement', 'Conditional Incentives']"
MA_HB_22_4300,SECTION 4. Maximum rents shall not exceed 70 per cent of the established fair market rent limit as established by the United States Department of Housing and Urban Development for the city of Salem for the most recent year,"['Specific Location', 'ADU', 'Affordable', 'Rent/Price Limit', 'Requirement']"
MA_HB_22_4300,SECTION 5. Households who have received a loan administered by the city of Salem for the purpose of building the affordable accessory dwelling unit shall not be eligible for the tax exemption for the term of the loan.,"['Property Owners/Landlords', 'Limited Incentives']"
MA_HB_22_4300,"SECTION 6. This act shall take effect upon its passage. 

Approved, September 23, 2022",['Time of Adoption']
MT_SB_23_528,"Section 1. Accessory dwelling units -- regulations -- restrictions. (1) (a) A municipality shall adopt regulations under this chapter that allow a minimum of one accessory dwelling unit by right on a lot or parcel that contains a single-family dwelling. 

(b) An accessory dwelling unit may be attached, detached, or internal to the single-family dwelling on a lot or parcel. 

(c) If the accessory dwelling unit is detached from or attached to the single-family dwelling, it may not be more than 75% of the gross floor area of the single-family dwelling or 1,000 square feet, whichever is les","['As of Right', 'Zoning', 'ADU', 'Local Gov', 'Requirement', 'Building & Design Standards']"
MT_SB_23_528,"(2) A municipality may not: 

(a) require that a lot or parcel have additional parking to accommodate an accessory dwelling unit or require fees in lieu of additional parking; 

(b) require that an accessory dwelling unit match the exterior design, roof pitch, or finishing materials of the single-family dwelling; 

(c) require that the single-family dwelling or the accessory dwelling unit be occupied by the owner; 

(d) require a familial, marital, or employment relationship between the occupants of the single- family dwelling and the occupants of the accessory dwelling unit; 

(e) assess impact fees on the construction of an accessory dwelling unit; 

(f) require improvements to public streets as a condition of permitting an accessory dwelling unit, except as necessary to reconstruct or repair a public street that is disturbed as a result of the construction of the accessory dwelling unit; 

(g) set maximum building heights, minimum setback requirements, minimum lot sizes, maximum lot coverages, or minimum building frontages for accessory dwelling units that are more restrictive than those for the single-family dwelling on the lot; 

(h) impose more onerous development standards on an accessory dwelling unit beyond those set forth in this section; or

(i) require a restrictive covenant concerning an accessory dwelling unit on a parcel zoned for residential use by a single-family dwelling. This subsection (2)(i) may not be construed to prohibit restrictive covenants concerning accessory dwelling units entered into between private parties, but the municipality may not condition a permit, license, or use of an accessory dwelling unit on the adoption or implementation of a restrictive covenant entered into between private parties.","['Parking', 'Local Gov', 'ADU', 'Building & Design Standards', 'Occupancy Limits', 'Reducing Taxes/Fees', 'Height', 'Lot Sizes', 'Set-backs', 'Floor Area Ratio', 'Permitting/Approval', 'Reduce Compliance Burdens']"
MT_SB_23_528,"(4) A municipality may require a fee for reviewing applications to create accessory dwelling units. The one-time application fee may be up to $250 for each accessory dwelling unit. Nothing in this section prohibits a municipality from requiring its usual building fees in addition to the application 

fee.","['Permitting/Approval', 'ADU']"
MT_SB_23_528,"(5) A municipality that has not adopted or amended regulations pursuant to this section by January 1, 2024, shall review and permit accessory dwelling units in accordance with the requirements of this section until regulations are adopted or amended. Regulations in effect on or after January 1, 2024, that apply to accessory dwelling units and do not comply with this section are void.","['Time of Adoption', 'Local Gov']"
MT_SB_23_528,(8) Nothing in this section prohibits a municipality from adopting regulations that are more permissive than the accessory dwelling unit provisions provided in this section.,"['Reduce Compliance Burdens', 'Local Gov', 'ADU']"
MT_SB_23_528,"(a) ""accessory dwelling unit"" means a self-contained living unit on the same parcel as a single- family dwelling of greater square footage that includes its own cooking, sleeping, and sanitation facilities and complies with or is otherwise exempt from any applicable building code, fire code, and public health and safety regulations adopted pursuant to Title 50, chapter 2.","['Definition', 'ADU']"
MT_SB_23_528,"(b) ""by right"" means the ability to be approved without requiring: 

(i) a public hearing; 

(ii) a variance, conditional use permit, special permit, or special exception; or 

(iii) other discretionary zoning action other than a determination that a site plan conforms with applicable zoning regulations;","['Definition', 'As of Right']"
MT_SB_23_528,"(c) ""gross floor area"" means the interior habitable area of a single-family dwelling or an accessory dwelling unit;","['Definition', 'Floor Area Ratio']"
MT_SB_23_528,"(d) ""municipality"" means an incorporated city, town, or consolidated city-county that exercises zoning powers under this part; and","['Definition', 'Local Gov']"
MT_SB_23_528,"e) ""single-family dwelling"" means a building with one or more rooms designed for residential living purposes by one household that is detached from any other dwelling unit.",['Definition']
MT_HB_23_246,including the creation of zoning districts that allow tiny dwelling units.,"['Zoning', 'Tiny Homes', 'Local Gov', 'Authorization']"
MT_HB_23_246,"(b) (i) ""Tiny dwelling unit"" means a residential dwelling unit that is 350 to 750 square feet, is on a permanent foundation, and is used as a single-family dwelling for at least 45 days or longer. 

(ii) Appendix Q, tiny houses, of the International Building Code as it was printed on January 1, 2023, may govern all other requirements of a tiny dwelling unit that is 350 to 750 square feet.","['Tiny Homes', 'Definition']"
MT_HB_23_246,"(b) (i) ""Tiny dwelling unit"" means a residential dwelling unit that is 350 to 750 square feet, is on a permanent foundation, and is used as a single-family dwelling for at least 45 days or longer. 

(ii) Appendix Q, tiny houses, of the International Building Code as it was printed on January 1, 2023, may govern all other requirements of a tiny dwelling unit that is 350 to 750 square feet.","['Tiny Homes', 'Definition']"
WA_HB_19_2343,"(d) Authorize a duplex, triplex, quadplex, sixplex, stacked flat, townhouse, or courtyard apartment on one or more parcels for which they are not currently authorized;","['Zoning', 'Local Gov', 'Plex', 'Optional']"
WA_HB_19_2343,(1) A city planning pursuant to RCW 36.70A.040 is encouraged to take the following actions in order to increase its residential building capacity:,['Optional']
WA_HB_19_2343,(b) Authorize development in one or more areas of not fewer than five two hundred acres in cities with a population greater than forty thousand or not fewer than two one hundred fifty acres in cities with a population less than forty thousand that include at least one bus stop served by scheduled bus service of at least four times per hour for twelve or more hours per day with an average of at least twenty-five residential units per acre that require no more than an average of one on-site parking space per two bedrooms in portions of the multifamily zones that are located within the areas,"['Permitting/Approval', 'Local Gov', 'Parking', 'Transit Zones', 'Floor Area Ratio', 'Optional']"
WA_HB_19_2343,"(c) Authorize at least one duplex, triplex, quadplex, sixplex, stacked flat, townhouse, or courtyard apartment on each parcel in one or more zoning districts that permit single-family residences


unless a city documents a specific infrastructure of physical constraint that would make this requirement unfeasible for a particular parcel;","['As of Right', 'Zoning', 'Local Gov', 'Plex', 'Optional']"
WA_HB_19_2343,"(l) Authorize a minimum net density of six dwelling units per acre in all residential zones, where the residential development capacity will increase within the city. For purposes of this subsection, the calculation of net density does not include the square footage of areas that are otherwise prohibited from development, such as critical areas, the area of buffers around critical areas, and the area of roads and similar features;","['Density', 'Lot Sizes', 'Local Gov', 'Optional']"
WA_HB_19_2343,(m) Create one or more zoning districts of medium density in which individual lots may be no larger than three thousand five hundred square feet and single-family residences may be no larger than one thousand two hundred square feet,"['Zoning', 'Density', 'Floor Area Ratio', 'Local Gov', 'Optional']"
WA_HB_19_2343,(n) Authorize accessory dwelling units in one or more zoning districts in which they are currently prohibited;,"['Zoning', 'Local Gov', 'ADU']"
WA_HB_19_2343,(o) Remove minimum residential parking requirements related to accessory dwelling units;,"['Parking', 'Local Gov', 'ADU', 'Optional']"
WA_HB_19_2343,(p) Remove owner occupancy requirements related to accessory dwelling units;,"['Occupancy Limits', 'Local Gov', 'ADU', 'Optional']"
WA_HB_19_2343,(q) Adopt new square footage requirements related to accessory dwelling units that are less restrictive than existing square footage requirements related to accessory dwelling units;,"['Floor Area Ratio', 'Local Gov', 'ADU', 'Optional']"
WA_HB_19_2343,"(r) Adopt maximum allowable exemption levels in WAC 197-11-800(1) as it existed on the effective date of this section, or such subsequent date as may be provided by the department of ecology by rule, consistent with the purposes of this section;","['As of Right', 'Density', 'Local Gov', 'Optional']"
WA_HB_19_2343,(s) Adopt standards for administrative approval of final plats pursuant to RCW 58.17.100;,"['Reduce Compliance Burdens', 'Permitting/Approval', 'Local Gov', 'Optional']"
WA_HB_19_2343,(t) Adopt ordinances authorizing administrative review of preliminary plats pursuant to RCW 58.17.095,"['Reduce Compliance Burdens', 'Local Gov', 'Optional']"
WA_HB_19_2343,"(u) Adopt other permit process improvements where it is demonstrated that the code, development regulation, or ordinance changes will result in a more efficient permit process for customers;","['Permitting/Approval', 'Local Gov', 'Optional']"
WA_HB_19_2343,"(v) Update use matrices and allowable use tables that eliminate conditional use permits and administrative conditional use permits for all housing types, including single-family homes, townhomes, multifamily housing, low-income housing, and senior housing, but excluding essential public facilities;","['Permitting/Approval', 'Reduce Compliance Burdens', 'Local Gov', 'Optional']"
WA_HB_19_2343,(w) Allow off-street parking to compensate for lack of on-street parking when private roads are utilized or a parking demand study shows that less parking is required for the project;,"['Parking', 'Local Gov', 'Optional']"
WA_HB_19_2343,"(x) Develop a local program that offers homeowners a combination of financing, design, permitting, or construction support to build accessory dwelling units. A city may condition this program on a requirement to provide the unit for affordable home ownership or rent the accessory dwelling unit for a defined period of time to either tenants in a housing subsidy program as defined in RCW 43.31.605(14) or to tenants whose income is less than eighty percent of the city or county median family income. If the city includes an affordability requirement under the program, it must provide additional incentives, such as: 

(i) Density bonuses; 

(ii) Height and bulk bonuses; 

(iii) Fee waivers or exemptions; 

(iv) Parking reductions; or 

(v) Expedited permitting; and","['Increasing Funding', 'Increasing Loan Access', 'Technical Assistance', 'Local Gov', 'Homeowners', 'ADU', 'Affordable', 'Income Specification', 'Parking', 'Permitting/Approval', 'Density Bonus', 'Optional']"
WA_HB_19_2343,"(y) Develop a local program that offers homeowners a combination of financing, design, permitting, or construction support to convert a single-family home into a duplex, triplex, or quadplex where those housing types are authorized. A local government may condition this program on a

requirement to provide a certain number of units for affordable home ownership or to rent a certain number of the newly created units for a defined period of time to either tenants in a housing subsidy program as defined in RCW 43.31.605(14) or to tenants whose income is less than eighty percent of the city or county median family income. If the city includes an affordability requirement, it must provide additional incentives, such as: 

(i) Density bonuses; 

(ii) Height and bulk bonuses; 

(iii) Fee waivers or exemptions; 

(iv) Parking reductions; or 

(v) Expedited permitting.","['Reducing Taxes/Fees', 'Increasing Tax Credits', 'Increasing Funding', 'Technical Assistance', 'Density Bonus', 'Parking', 'Reporting', 'Local Gov', 'Homeowners', 'Plex', 'Affordable', 'Income Specification', 'Optional']"
WA_HB_19_2343,"(6) A city with a population over twenty thousand that is planning to take at least two actions under subsection (1) of this section, and that action will occur between July 28, 2019, and April 1, 2021, is eligible to apply to the department for planning grant assistance of up to one hundred thousand dollars, subject to the availability of funds appropriated for that purpose. The department shall develop grant criteria to ensure that grant funds awarded are proportionate to the level of effort proposed by a city, and the potential increase in housing supply or regulatory streamlining that could be achieved. Funding may be provided in advance of, and to support, adoption of policies or ordinances consistent with this section. A city can request, and the department may award, more than one hundred thousand dollars for applications that demonstrate extraordinary potential to increase housing supply or regulatory streamlining.","['Increasing Grant/Funding Access', 'Local Gov', 'Optional - Incentives']"
WA_HB_19_2343,"(3) For market rate multifamily housing units that are located within one-quarter mile of a transit stop that receives transit service from at least one route that provides service at least four times per hour for twelve or more hours per day, minimum residential parking requirements may be no greater than one parking space per bedroom or .75 space per unit. A city or county may establish a requirement for the provision of more than one parking space per bedroom or .75 space per unit if the jurisdiction has determined a particular housing unit to be in an area with a lack of access to street parking capacity, physical space impediments, or other reasons supported by evidence that would make on-street parking infeasible for the unit.","['Parking', 'Local Gov', 'Transit Zones', 'Requirement']"
WA_HB_19_2343,"(16) ""Permanent supportive housing"" is subsidized, leased housing with no limit on length of stay, paired with on-site or off-site voluntary services designed to support a person living with a disability to be a successful tenant in a housing arrangement, improve the resident's health status, and connect residents of the housing with community-based health care, treatment, and employment services that prioritizes people who need comprehensive support services to retain tenancy and utilizes admissions practices designed to use lower barriers to entry than would be typical for other subsidized or unsubsidized rental housing, especially related to rental history, criminal history, and personal behaviors. Permanent supportive housing is paired with on-site or off-site voluntary services designed to support a person living with a complex and disabling behavioral health or physical health condition who was experiencing homelessness or was at imminent risk of homelessness prior to moving into housing to retain their housing and be a successful tenant in a housing arrangement, improve the resident's health status, and connect the resident of the housing with community-based health care, treatment, or employment services. Permanent supportive housing is subject to all of the rights and responsibilities defined in chapter 59.18 RCW.","['Permanent Supportive Housing', 'People Experiencing Homelessness', 'Definition']"
WA_HB_19_2343,(1) The Washington center for real estate research at the University of Washington shall produce a report every two years series of reports as described in this section that compiles housing supply and affordability metrics for each city planning under RCW 36.70A.040 with a population of ten thousand or more.,"['Reporting', 'Requirement']"
RI_SB_22_2623,"Accessory dwelling unit (ADU). A residential living unit on the same parcel where the primary use is a legally established single-unit or multi-unit dwelling. An ADU provides complete independent living facilities for one or more persons. It may take various forms including, but not limited to: a detached unit; a unit that is part of an accessory structure, such as a detached garage; or a unit that is part of an expanded or remodeled primary dwelling.","['ADU', 'Change in Definition']"
RI_SB_22_2623,"(A) In zoning districts that allow residential uses, no more than one accessory dwelling unit may be an accessory to a single-family dwelling.","['Zoning', 'ADU', 'Authorization']"
RI_SB_22_2623,"(a) Any municipality which that chooses to permit accessory dwelling units (ADUs) within the municipality, shall not impose any excessive restrictions on accessory dwelling units (ADUs). More specifically, a municipality which that permits ADUs shall not: 

(1) Restrict tenants based on familial relationship or age unless such restriction is necessary to comply with the terms of the federal subsidy related to affordability; 

(2) Charge unique or unreasonable application fees for the creation of an ADU; 

(3) Require infrastructure improvements, including, but not limited to, separate water or sewer service lines or expanded septic system capacity , ; provided, however, municipalities may require modification required for compliance under state law or regulation; 

(4) Discriminate against populations protected under state and federal fair housing laws; 

(5) Impose unreasonable dimensional requirements on ADUs that effectively preclude their development or utilization; 

(6) Require a larger minimum lot size for a property with an ADU over that required for a property without an ADU in the same zone; 

(7) Require more than one parking space beyond what is already required for the primary use; or 

(8) Limit ADUs to lots with pre-existing homes; provided, a municipality shall allow ADUs as part of applications for new primary dwelling units or subdivisions.","['Reduce Compliance Burdens', 'ADU', 'Local Gov', 'Requirement', 'Occupancy Limits', 'Reducing Taxes/Fees', 'Building & Design Standards', 'Parking', 'Permitting/Approval', 'Lot Sizes', 'Optional']"
RI_SB_22_2623,"b) To further enable the use of ADUs and to remove barriers to utilization, municipalities may allow ADUs in primary or accessory structures that are lawfully established pre-existing non-conforming through a special use permit and not require a variance, notwithstanding any provision of this chapter to the contrary that would require a variance. 

(c) Private restrictions on ADUs imposed by condominium associations, homeowner associations, or similar residential property governing bodies, which conflict with the provisions of this section or the definition of an ADU as set forth in § 45-24-31, shall be void as against public policy. Provided, however, if ADU's are allowed by condominium association covenants, homeowner association covenants, or similar residential property governing bodies, they shall be deemed in compliance with this subsection. 

(d) The development of ADUs shall not be restricted by any locally adopted ordinance or policy that places a limit or moratorium on the development of residential units in land zoned for residential 

use.","['Permitting/Approval', 'Local Gov', 'ADU', 'Authorization']"
RI_SB_22_2623,"(a) Applications for ADUs that are not part of a larger development proposal shall be reviewed through an administrative officer or development plan review process. They shall not, by themselves, be reviewed as minor land development, major land development, or special use permits","['Permitting/Approval', 'Local Gov', 'ADU', 'Requirement']"
RI_SB_22_2623,"(b) ADUs shall be a permitted use in any residential district with a minimum lot size of twenty thousand square feet (20,000 sq. ft.) or more, and where the proposed ADU is located within the

existing footprint of the primary structure or existing secondary attached or detached structure and does not expand the footprint of the structure.","['Zoning', 'Local Gov', 'ADU', 'Requirement']"
